id,orderId,mode,originCity,originCountry,destinationCity,destinationCountry,originLat,originLng,destinationLat,destinationLng,hub,carrier,plannedDeparture,plannedArrival,actualArrival,delayDays,costEur,weightKg,volumeM3,priority,status,delayReason,co2Kg,riskScore,riskLevel,costPerKg,dataQualityFlag
SHP-0100,ORD-40968,Road,Paris,France,Madrid,Spain,48.8566,2.3522,40.4168,-3.7038,Paris Hub,Global Freight Partners,2026-01-20,2026-01-25,2026-01-25,0,3777.51,7083.1,23.49,Medium,Delivered,No delay,850.0,32,Low,0.533,
SHP-0101,ORD-93269,Road,Lille,France,Antwerp,Belgium,50.6292,3.0573,51.2194,4.4025,Lille Hub,EuroCargo Line,2026-01-25,2026-01-26,2026-02-07,12,4140.17,5928.9,49.68,Medium,At risk,Weather disruption,711.5,77,High,0.698,
SHP-0102,ORD-70521,Air,London,United Kingdom,New York,United States,51.5072,-0.1276,40.7128,-74.006,London Heathrow,AirSwift Cargo,2026-03-03,2026-03-04,2026-03-04,0,7689.2,4991.2,52.01,Medium,Delivered,No delay,14973.6,40,Medium,1.541,
SHP-0103,ORD-15376,Sea,Le Havre,France,Casablanca,Morocco,49.4944,0.1079,33.5731,-7.5898,Le Havre Port,Maghreb Maritime,2026-01-15,2026-02-11,2026-02-11,0,4480.44,6697.3,40.44,Medium,Delivered,No delay,468.8,36,Low,0.669,
SHP-0104,ORD-32617,Road,Antwerp,Belgium,Hamburg,Germany,51.2194,4.4025,53.5511,9.9937,Antwerp Port,Alpine Transport,2026-03-07,2026-03-12,2026-03-13,1,3166.23,968.7,58.56,Low,Delayed,Weather disruption,116.2,37,Low,3.269,
SHP-0105,ORD-16863,Road,Marseille,France,Milan,Italy,43.2965,5.3698,45.4642,9.19,Milan Hub,BlueRoute Logistics,2026-03-14,2026-03-19,2026-03-19,0,3627.48,2952.9,59.76,Medium,Delivered,No delay,354.3,32,Low,1.228,
SHP-0106,ORD-29709,Air,Dubai,United Arab Emirates,Paris,France,25.2048,55.2708,48.8566,2.3522,Jebel Ali Port,SkyFreight Express,2026-02-17,2026-02-18,2026-02-18,0,11177.3,3125.6,17.28,High,Delivered,No delay,9376.8,56,Medium,3.576,
SHP-0107,ORD-59372,Road,Amsterdam,Netherlands,Paris,France,52.3676,4.9041,48.8566,2.3522,Paris CDG,EuroCargo Line,2026-02-19,2026-02-22,2026-02-22,0,3549.02,5502.4,26.21,Medium,Delivered,No delay,660.3,32,Low,0.645,
SHP-0108,ORD-73736,Sea,Barcelona,Spain,Casablanca,Morocco,41.3874,2.1686,33.5731,-7.5898,Barcelona Port,BlueRoute Logistics,2026-01-17,2026-02-13,2026-02-13,0,6469.58,4054.7,2.36,Low,Delivered,No delay,283.8,32,Low,1.596,
SHP-0109,ORD-91006,Road,Paris,France,Madrid,Spain,48.8566,2.3522,40.4168,-3.7038,Paris CDG,RoadFast Europe,2026-02-12,2026-02-13,2026-02-13,0,3462.78,4293.1,48.33,Medium,Delivered,No delay,515.2,32,Low,0.807,
SHP-0110,ORD-68222,Road,Hamburg,Germany,Milan,Italy,53.5511,9.9937,45.4642,9.19,Hamburg Port,EuroCargo Line,2026-01-29,2026-02-03,2026-02-03,0,2577.89,1441.4,29.12,Medium,Delivered,No delay,173.0,32,Low,1.788,Duplicate id
SHP-0110,ORD-60052,Sea,Dubai,United Arab Emirates,Hamburg,Germany,25.2048,55.2708,53.5511,9.9937,Jebel Ali Port,NorthSea Logistics,2026-03-15,2026-03-29,2026-04-10,12,4403.12,2982.9,61.63,High,At risk,Customs delay,417.6,91,Critical,1.476,Duplicate id
SHP-0112,ORD-31012,Sea,Rotterdam,Netherlands,Tangier,Morocco,51.9244,4.4777,35.7595,-5.834,Rotterdam Port,NorthSea Logistics,2026-01-23,2026-02-07,2026-02-19,12,5996.2,4405.6,7.75,High,At risk,Weather disruption,308.4,97,Critical,1.361,
SHP-0113,ORD-60615,Road,Frankfurt,Germany,Lyon,France,50.1109,8.6821,45.764,4.8357,Frankfurt Airport,BlueRoute Logistics,2026-01-17,2026-01-19,2026-01-19,0,3204.94,6920.9,60.56,Medium,Delivered,No delay,830.5,32,Low,0.463,
SHP-0114,ORD-28191,Air,London,United Kingdom,New York,United States,51.5072,-0.1276,40.7128,-74.006,London Gateway,SkyFreight Express,2026-02-15,2026-02-16,2026-02-16,0,8378.97,5132.7,51.69,Low,Delivered,No delay,15398.1,30,Low,1.632,
SHP-0115,ORD-47762,Air,Milan,Italy,Dubai,United Arab Emirates,45.4642,9.19,25.2048,55.2708,Milan Hub,SkyFreight Express,2026-01-16,2026-01-17,2026-01-17,0,8985.02,6542.4,36.21,Medium,Delivered,No delay,19627.2,40,Medium,1.373,
SHP-0116,ORD-41711,Road,Paris,France,Lille,France,48.8566,2.3522,50.6292,3.0573,Paris Hub,EuroCargo Line,2026-02-28,2026-03-05,2026-03-05,0,1681.22,1024.7,58.95,Medium,Delivered,No delay,123.0,28,Low,1.641,
SHP-0117,ORD-81313,Sea,Marseille,France,Tangier,Morocco,43.2965,5.3698,35.7595,-5.834,Marseille-Fos Port,OceanBridge,2026-02-20,2026-03-06,2026-03-06,0,3689.66,1607.3,43.83,Medium,Delivered,No delay,112.5,36,Low,2.296,
SHP-0118,ORD-96127,Sea,Shanghai,China,Rotterdam,Netherlands,31.2304,121.4737,51.9244,4.4777,Shanghai Port,Global Freight Partners,2026-03-07,2026-03-15,2026-03-15,0,5941.0,7655.5,17.38,Low,Delivered,No delay,1071.8,32,Low,0.776,
SHP-0119,ORD-92802,Sea,Tangier,Morocco,Marseille,France,35.7595,-5.834,43.2965,5.3698,Tanger Med Port,NorthSea Logistics,2026-01-11,2026-01-29,2026-01-29,0,4243.72,6378.9,12.37,Medium,Delivered,No delay,446.5,36,Low,0.665,
SHP-0120,ORD-14799,Road,Paris,France,Madrid,Spain,48.8566,2.3522,40.4168,-3.7038,Paris Hub,BlueRoute Logistics,2026-01-10,2026-01-13,2026-01-17,4,2909.91,2584.8,20.98,Medium,At risk,Road traffic,310.2,62,High,1.126,
SHP-0121,ORD-54438,Air,Amsterdam,Netherlands,Shanghai,China,52.3676,4.9041,31.2304,121.4737,Amsterdam Schiphol,Global Freight Partners,2026-01-12,2026-01-15,2026-01-15,0,9570.95,6271.0,29.08,Medium,Delivered,No delay,18813.0,46,Medium,1.526,
SHP-0122,ORD-52101,Air,Milan,Italy,Dubai,United Arab Emirates,45.4642,9.19,25.2048,55.2708,Milan Hub,Global Freight Partners,2026-03-13,2026-03-16,2026-03-16,0,10716.63,5720.4,6.24,Medium,Delivered,No delay,17161.2,46,Medium,1.873,
SHP-0123,ORD-56210,Road,Rotterdam,Netherlands,Paris,France,51.9244,4.4777,48.8566,2.3522,Paris CDG,Alpine Transport,2026-02-14,2026-02-18,2026-02-18,0,1927.17,3427.0,45.21,Medium,Delivered,No delay,411.2,28,Low,0.562,
SHP-0124,ORD-89635,Sea,Rotterdam,Netherlands,Tangier,Morocco,51.9244,4.4777,35.7595,-5.834,Rotterdam Port,OceanBridge,2026-01-15,2026-02-12,2026-02-12,0,6886.59,2948.4,52.31,Medium,Delivered,No delay,206.4,42,Medium,2.336,
SHP-0125,ORD-58623,Sea,Le Havre,France,New York,United States,49.4944,0.1079,40.7128,-74.006,Le Havre Port,NorthSea Logistics,2026-01-14,2026-01-28,2026-01-28,0,4873.51,2971.4,25.63,Medium,Delivered,No delay,416.0,36,Low,1.64,
SHP-0126,ORD-77861,Road,Antwerp,Belgium,Hamburg,Germany,51.2194,4.4025,53.5511,9.9937,Antwerp Port,Global Freight Partners,2026-01-23,2026-01-28,2026-01-28,0,1101.32,2575.6,18.98,High,Delivered,No delay,309.1,38,Low,0.428,
SHP-0127,ORD-21506,Road,Frankfurt,Germany,Lyon,France,50.1109,8.6821,45.764,4.8357,Frankfurt Airport,Alpine Transport,2026-02-08,2026-02-12,2026-02-17,5,1256.78,1705.4,9.86,Low,At risk,Weather disruption,204.6,48,Medium,0.737,
SHP-0128,ORD-76683,Air,London,United Kingdom,New York,United States,51.5072,-0.1276,40.7128,-74.006,London Heathrow,SkyFreight Express,2026-03-17,2026-03-20,2026-03-20,0,11596.06,6667.4,46.61,High,Delivered,No delay,20002.2,56,Medium,1.739,
SHP-0129,ORD-18617,Road,Lyon,France,Milan,Italy,45.764,4.8357,45.4642,9.19,Lyon Hub,EuroCargo Line,2026-03-10,2026-03-11,2026-03-11,0,2052.15,4540.8,31.02,High,Delivered,No delay,544.9,38,Low,0.452,
SHP-0130,ORD-55156,Road,Marseille,France,Milan,Italy,43.2965,5.3698,45.4642,9.19,Milan Hub,Global Freight Partners,2026-02-27,2026-03-03,2026-03-03,0,2665.59,742.0,63.24,Medium,Delivered,No delay,89.0,32,Low,3.592,
SHP-0131,ORD-39552,Road,Antwerp,Belgium,Hamburg,Germany,51.2194,4.4025,53.5511,9.9937,Antwerp Port,EuroCargo Line,2026-03-02,2026-03-07,2026-03-07,0,1035.78,602.2,9.12,Low,Delivered,No delay,72.3,18,Low,1.72,
SHP-0132,ORD-32103,Road,Frankfurt,Germany,Lyon,France,50.1109,8.6821,45.764,4.8357,Lyon Hub,RoadFast Europe,2026-02-07,2026-02-09,2026-02-09,0,2332.59,4377.4,9.19,Low,Delivered,No delay,525.3,18,Low,0.533,
SHP-0133,ORD-64602,Sea,Tangier,Morocco,Marseille,France,35.7595,-5.834,43.2965,5.3698,Tanger Med Port,NorthSea Logistics,2026-02-18,2026-03-15,2026-03-16,1,5112.2,526.4,42.12,Medium,Delayed,Port congestion,36.8,57,Medium,9.712,
SHP-0134,ORD-17852,Sea,Le Havre,France,Casablanca,Morocco,49.4944,0.1079,33.5731,-7.5898,Le Havre Port,BlueRoute Logistics,2026-02-12,2026-03-11,2026-03-11,0,3434.5,3860.0,52.54,Medium,Delivered,No delay,270.2,36,Low,0.89,
SHP-0135,ORD-27139,Road,Hamburg,Germany,Milan,Italy,53.5511,9.9937,45.4642,9.19,Milan Hub,BlueRoute Logistics,2026-02-01,2026-02-04,2026-02-04,0,3602.04,2561.9,47.03,Medium,Delivered,No delay,307.4,32,Low,1.406,
SHP-0136,ORD-30932,Air,Barcelona,Spain,Amsterdam,Netherlands,41.3874,2.1686,52.3676,4.9041,Barcelona Port,Global Freight Partners,2026-02-05,2026-02-09,2026-02-21,12,9079.73,1253.5,4.43,High,At risk,Weather disruption,1880.2,100,Critical,7.244,
SHP-0137,ORD-69930,Air,Frankfurt,Germany,Shanghai,China,50.1109,8.6821,31.2304,121.4737,Frankfurt Airport,AirSwift Cargo,2026-01-26,2026-01-30,2026-01-30,0,5873.68,3737.1,57.29,Medium,Delivered,No delay,11211.3,40,Medium,1.572,
SHP-0138,ORD-66482,Air,Amsterdam,Netherlands,Shanghai,China,52.3676,4.9041,31.2304,121.4737,Amsterdam Schiphol,SkyFreight Express,2026-01-12,2026-01-15,2026-01-15,0,10915.78,6903.4,42.94,Medium,Delivered,No delay,20710.2,46,Medium,1.581,
SHP-0139,ORD-82070,Road,Lille,France,Antwerp,Belgium,50.6292,3.0573,51.2194,4.4025,Antwerp Port,BlueRoute Logistics,2026-02-21,2026-02-22,2026-02-22,0,1443.49,4525.5,13.62,Medium,Delivered,No delay,543.1,28,Low,0.319,
SHP-0140,ORD-36090,Road,Amsterdam,Netherlands,Paris,France,52.3676,4.9041,48.8566,2.3522,Paris CDG,Global Freight Partners,2026-01-21,2026-01-23,2026-01-23,0,3897.83,3181.5,51.91,Low,Delivered,No delay,381.8,22,Low,1.225,
SHP-0141,ORD-90356,Sea,Rotterdam,Netherlands,Tangier,Morocco,51.9244,4.4777,35.7595,-5.834,Rotterdam Port,OceanBridge,2026-01-10,2026-01-21,2026-01-21,0,6518.97,6306.2,34.33,Low,Delivered,No delay,441.4,32,Low,1.034,
SHP-0142,ORD-98317,Road,Hamburg,Germany,Milan,Italy,53.5511,9.9937,45.4642,9.19,Milan Hub,Global Freight Partners,2026-02-18,2026-02-23,2026-02-23,0,3534.38,4236.4,46.42,Low,Delivered,No delay,508.4,22,Low,0.834,
SHP-0143,ORD-32349,Road,Hamburg,Germany,Milan,Italy,53.5511,9.9937,45.4642,9.19,Milan Hub,RoadFast Europe,2026-03-07,2026-03-10,2026-03-10,0,3764.24,6145.7,50.72,Medium,Delivered,No delay,737.5,32,Low,0.612,
SHP-0144,ORD-36724,Sea,Dubai,United Arab Emirates,Hamburg,Germany,25.2048,55.2708,53.5511,9.9937,Jebel Ali Port,NorthSea Logistics,2026-02-06,2026-02-14,2026-02-14,0,3855.5,5518.0,13.37,Medium,Delivered,No delay,772.5,36,Low,0.699,
SHP-0145,ORD-56437,Road,Antwerp,Belgium,Hamburg,Germany,51.2194,4.4025,53.5511,9.9937,Hamburg Port,RoadFast Europe,2026-01-23,2026-01-28,2026-02-04,7,3270.99,4184.1,21.22,Low,At risk,Weather disruption,502.1,67,High,0.782,
SHP-0146,ORD-37168,Sea,Dubai,United Arab Emirates,Hamburg,Germany,25.2048,55.2708,53.5511,9.9937,Jebel Ali Port,BlueRoute Logistics,2026-03-08,2026-03-21,2026-03-21,0,6784.26,2306.0,20.24,High,Delivered,No delay,322.8,52,Medium,2.942,
SHP-0147,ORD-61712,Sea,Le Havre,France,New York,United States,49.4944,0.1079,40.7128,-74.006,Le Havre Port,Global Freight Partners,2026-02-19,2026-03-15,2026-03-15,0,5302.01,6241.0,18.65,Low,Delivered,No delay,873.7,32,Low,0.85,
SHP-0148,ORD-83664,Air,Frankfurt,Germany,New York,United States,50.1109,8.6821,40.7128,-74.006,Frankfurt Airport,SkyFreight Express,2026-02-11,2026-02-12,,0,5431.98,3550.9,17.56,Medium,In transit,No delay,10652.7,40,Medium,1.53,Missing actual arrival
SHP-0149,ORD-10679,Sea,Antwerp,Belgium,New York,United States,51.2194,4.4025,40.7128,-74.006,Antwerp Port,BlueRoute Logistics,2026-03-22,2026-04-05,2026-04-09,4,2052.81,580.0,27.57,Medium,At risk,Customs delay,81.2,62,High,3.539,
SHP-0150,ORD-40437,Air,Frankfurt,Germany,New York,United States,50.1109,8.6821,40.7128,-74.006,Frankfurt Airport,BlueRoute Logistics,2026-03-08,2026-03-10,2026-03-10,0,9454.28,2368.8,19.41,Low,Delivered,No delay,7106.4,36,Low,3.991,
SHP-0151,ORD-47941,Sea,Dubai,United Arab Emirates,Hamburg,Germany,25.2048,55.2708,53.5511,9.9937,Dubai Airport,NorthSea Logistics,2026-02-28,2026-03-12,2026-03-12,0,2767.19,456.9,54.55,Medium,Delivered,No delay,64.0,36,Low,6.056,
SHP-0152,ORD-45761,Air,Paris,France,Frankfurt,Germany,48.8566,2.3522,50.1109,8.6821,Paris CDG,SkyFreight Express,2026-02-17,2026-02-20,2026-02-20,0,6079.21,5066.8,34.65,High,Delivered,No delay,7600.2,50,Medium,1.2,
SHP-0153,ORD-90079,Road,Paris,France,Lille,France,48.8566,2.3522,50.6292,3.0573,Paris CDG,EuroCargo Line,2026-03-05,2026-03-08,2026-03-08,0,2337.28,287.3,22.71,Low,Delivered,No delay,34.5,18,Low,8.135,
SHP-0154,ORD-40870,Air,Paris,France,Istanbul,Turkey,48.8566,2.3522,41.0082,28.9784,Paris CDG,Global Freight Partners,2026-01-17,2026-01-21,2026-01-21,0,4587.15,1588.0,10.17,Low,Delivered,No delay,2382.0,24,Low,2.889,
SHP-0155,ORD-50760,Road,Lille,France,Antwerp,Belgium,50.6292,3.0573,51.2194,4.4025,Antwerp Port,Alpine Transport,2026-03-21,2026-03-26,2026-04-02,7,1564.07,653.4,8.74,Low,At risk,Carrier capacity issue,78.4,63,High,2.394,
SHP-0156,ORD-71712,Sea,Hamburg,Germany,Shanghai,China,53.5511,9.9937,31.2304,121.4737,Hamburg Port,Maghreb Maritime,2026-02-03,2026-02-17,2026-02-17,0,3758.26,3823.7,30.23,High,Delivered,No delay,535.3,46,Medium,0.983,
SHP-0157,ORD-36497,Air,Dubai,United Arab Emirates,Paris,France,25.2048,55.2708,48.8566,2.3522,Dubai Airport,AirSwift Cargo,2026-01-16,2026-01-20,2026-01-20,0,11801.44,2936.8,59.72,Low,Delivered,No delay,8810.4,36,Low,4.018,
SHP-0158,ORD-64450,Sea,Antwerp,Belgium,New York,United States,51.2194,4.4025,40.7128,-74.006,Antwerp Port,Maghreb Maritime,2026-03-13,2026-04-03,2026-04-07,4,2228.43,3904.9,58.55,Medium,At risk,Carrier capacity issue,546.7,62,High,0.571,
SHP-0159,ORD-19046,Sea,Le Havre,France,Casablanca,Morocco,49.4944,0.1079,33.5731,-7.5898,Le Havre Port,Maghreb Maritime,2026-01-08,2026-01-27,2026-01-28,1,1990.01,4586.7,4.09,Low,Delayed,Customs delay,321.1,37,Low,0.434,
SHP-0160,ORD-60132,Air,Milan,Italy,Dubai,United Arab Emirates,45.4642,9.19,25.2048,55.2708,Milan Hub,Global Freight Partners,2026-02-27,2026-03-01,2026-03-01,0,10559.18,6015.6,63.62,Medium,Delivered,No delay,18046.8,46,Medium,1.755,
SHP-0161,ORD-39188,Road,Hamburg,Germany,Milan,Italy,53.5511,9.9937,45.4642,9.19,Milan Hub,RoadFast Europe,2026-03-16,2026-03-18,2026-03-18,0,2246.02,2830.0,12.59,Medium,Delivered,No delay,339.6,28,Low,0.794,
SHP-0162,ORD-24790,Air,Paris,France,Frankfurt,Germany,48.8566,2.3522,50.1109,8.6821,Paris CDG,BlueRoute Logistics,2026-03-16,2026-03-20,2026-03-20,0,7945.67,6454.0,16.99,Low,Delivered,No delay,9681.0,30,Low,1.231,
SHP-0163,ORD-62725,Road,Madrid,Spain,Barcelona,Spain,40.4168,-3.7038,41.3874,2.1686,Madrid Barajas,Global Freight Partners,2026-01-08,2026-01-10,2026-01-12,2,1329.93,435.9,39.34,Medium,Delayed,Documentation issue,52.3,43,Medium,3.051,
SHP-0164,ORD-52030,Road,Frankfurt,Germany,Lyon,France,50.1109,8.6821,45.764,4.8357,Frankfurt Airport,RoadFast Europe,2026-01-23,2026-01-28,2026-01-28,0,3074.52,1964.3,59.67,Medium,Delivered,No delay,235.7,32,Low,1.565,
SHP-0165,ORD-78742,Road,Paris,France,Madrid,Spain,48.8566,2.3522,40.4168,-3.7038,Paris CDG,BlueRoute Logistics,2026-02-13,2026-02-16,2026-02-19,3,2430.1,4415.6,4.19,Low,Delayed,Weather disruption,529.9,48,Medium,0.55,
SHP-0166,ORD-83713,Road,Hamburg,Germany,Milan,Italy,53.5511,9.9937,45.4642,9.19,Milan Hub,EuroCargo Line,2026-02-13,2026-02-17,2026-03-01,12,3690.08,6652.0,20.39,Medium,At risk,Carrier capacity issue,798.2,77,High,0.555,
SHP-0167,ORD-98299,Road,Hamburg,Germany,Milan,Italy,53.5511,9.9937,45.4642,9.19,Hamburg Port,BlueRoute Logistics,2026-02-06,2026-02-09,2026-02-11,2,1696.28,6635.2,7.1,Medium,Delayed,Weather disruption,796.2,43,Medium,0.256,
SHP-0168,ORD-34906,Sea,Le Havre,France,Casablanca,Morocco,49.4944,0.1079,33.5731,-7.5898,Le Havre Port,NorthSea Logistics,2026-03-22,2026-04-19,2026-04-19,0,6957.42,3833.0,56.67,Low,Delivered,No delay,268.3,32,Low,1.815,
SHP-0169,ORD-44283,Air,Paris,France,Dubai,United Arab Emirates,48.8566,2.3522,25.2048,55.2708,Paris CDG,AirSwift Cargo,2026-02-01,2026-02-05,2026-02-05,0,9252.41,4386.8,50.68,Medium,Delivered,No delay,13160.4,46,Medium,2.109,
SHP-0170,ORD-44180,Road,Barcelona,Spain,Paris,France,41.3874,2.1686,48.8566,2.3522,Paris Hub,RoadFast Europe,2026-03-07,2026-03-10,2026-03-10,0,1706.95,3004.8,27.61,Medium,Delivered,No delay,360.6,28,Low,0.568,
SHP-0171,ORD-43728,Sea,Tangier,Morocco,Marseille,France,35.7595,-5.834,43.2965,5.3698,Tanger Med Port,Maghreb Maritime,2026-01-25,2026-02-07,2026-02-07,0,5431.68,3074.4,54.37,Medium,Delivered,No delay,215.2,42,Medium,1.767,
SHP-0172,ORD-19742,Air,Milan,Italy,Dubai,United Arab Emirates,45.4642,9.19,25.2048,55.2708,Milan Hub,BlueRoute Logistics,2026-01-27,2026-01-30,2026-02-11,12,5369.31,7166.8,35.79,Medium,At risk,Weather disruption,21500.4,85,Critical,0.749,
SHP-0173,ORD-90980,Air,Dubai,United Arab Emirates,Paris,France,25.2048,55.2708,48.8566,2.3522,Dubai Airport,SkyFreight Express,2026-02-27,2026-03-01,2026-03-01,0,8018.81,1943.5,46.32,Low,Delivered,No delay,5830.5,30,Low,4.126,
SHP-0174,ORD-75826,Sea,Tangier,Morocco,Marseille,France,35.7595,-5.834,43.2965,5.3698,Tanger Med Port,Global Freight Partners,2026-01-08,2026-01-15,2026-01-15,0,4218.56,3314.4,2.27,Medium,Delivered,No delay,232.0,36,Low,1.273,
SHP-0175,ORD-20357,Air,Dubai,United Arab Emirates,Paris,France,25.2048,55.2708,48.8566,2.3522,Jebel Ali Port,AirSwift Cargo,2026-01-19,2026-01-20,2026-01-20,0,6939.97,2016.2,40.74,Low,Delivered,No delay,6048.6,30,Low,3.442,
SHP-0176,ORD-63120,Road,Hamburg,Germany,Milan,Italy,53.5511,9.9937,45.4642,9.19,Milan Hub,Global Freight Partners,2026-02-06,2026-02-08,2026-02-08,0,14200.0,6489.8,6.34,High,Delivered,No delay,778.8,54,Medium,2.188,Abnormal transport cost
SHP-0177,ORD-37710,Road,Frankfurt,Germany,Lyon,France,50.1109,8.6821,45.764,4.8357,Lyon Hub,RoadFast Europe,2026-01-07,2026-01-09,2026-01-18,9,2970.92,4491.8,55.94,Low,At risk,Warehouse bottleneck,539.0,67,High,0.661,
SHP-0178,ORD-12052,Air,New York,United States,London,United Kingdom,40.7128,-74.006,51.5072,-0.1276,JFK Airport,Global Freight Partners,2026-01-11,2026-01-12,2026-01-12,0,5605.86,2316.4,35.85,Medium,Delivered,No delay,6949.2,40,Medium,2.42,
SHP-0179,ORD-28343,Air,Frankfurt,Germany,Shanghai,China,50.1109,8.6821,31.2304,121.4737,Frankfurt Airport,BlueRoute Logistics,2026-01-15,2026-01-18,2026-01-22,4,8382.88,6540.0,26.03,High,At risk,Customs delay,19620.0,80,Critical,1.282,
SHP-0180,ORD-52778,Air,New York,United States,London,United Kingdom,40.7128,-74.006,51.5072,-0.1276,New York Port,Global Freight Partners,2026-01-12,2026-01-13,2026-01-13,0,12379.62,6570.7,22.93,Medium,Delivered,No delay,19712.1,46,Medium,1.884,
SHP-0181,ORD-48715,Road,Lille,France,Antwerp,Belgium,50.6292,3.0573,51.2194,4.4025,Antwerp Port,BlueRoute Logistics,2026-02-04,2026-02-07,2026-02-07,0,1980.12,3040.8,13.05,Medium,Delivered,No delay,364.9,28,Low,0.651,
SHP-0182,ORD-50405,Air,New York,United States,London,United Kingdom,40.7128,-74.006,51.5072,-0.1276,New York Port,SkyFreight Express,2026-02-09,2026-02-11,2026-02-11,0,6671.03,6153.2,11.04,Medium,Delivered,No delay,18459.6,40,Medium,1.084,
SHP-0183,ORD-88386,Road,Antwerp,Belgium,Hamburg,Germany,51.2194,4.4025,53.5511,9.9937,Hamburg Port,RoadFast Europe,2026-01-22,2026-01-23,2026-02-04,12,2094.64,4407.1,27.23,Low,At risk,Documentation issue,528.9,63,High,0.475,
SHP-0184,ORD-99825,Air,Paris,France,Istanbul,Turkey,48.8566,2.3522,41.0082,28.9784,Paris Hub,Global Freight Partners,2026-02-27,2026-03-03,2026-03-03,0,7278.05,5703.3,36.9,High,Delivered,No delay,8555.0,50,Medium,1.276,
SHP-0185,ORD-91924,Road,Paris,France,Madrid,Spain,48.8566,2.3522,40.4168,-3.7038,Madrid Hub,Alpine Transport,2026-02-09,2026-02-13,2026-02-16,3,1990.35,2282.8,20.32,Medium,Delayed,Weather disruption,273.9,58,Medium,0.872,
SHP-0186,ORD-95332,Sea,Tangier,Morocco,Marseille,France,35.7595,-5.834,43.2965,5.3698,Tanger Med Port,Global Freight Partners,2026-01-19,2026-01-30,2026-02-08,9,4155.72,6593.1,25.44,High,At risk,Weather disruption,461.5,91,Critical,0.63,
SHP-0187,ORD-85481,Air,Frankfurt,Germany,New York,United States,50.1109,8.6821,40.7128,-74.006,Frankfurt Airport,Global Freight Partners,2026-01-31,2026-02-04,2026-02-04,0,12347.9,7530.1,63.0,Low,Delivered,No delay,22590.3,36,Low,1.64,
SHP-0188,ORD-37479,Air,London,United Kingdom,New York,United States,51.5072,-0.1276,40.7128,-74.006,London Heathrow,Global Freight Partners,2026-02-25,2026-02-28,2026-03-04,4,6093.0,7779.2,12.68,Medium,At risk,Customs delay,23337.6,70,High,0.783,
SHP-0189,ORD-88372,Road,Lille,France,Antwerp,Belgium,50.6292,3.0573,51.2194,4.4025,Lille Hub,BlueRoute Logistics,2026-03-10,2026-03-12,2026-03-12,0,3101.38,2024.2,43.22,Medium,Delivered,No delay,242.9,32,Low,1.532,
SHP-0190,ORD-97122,Sea,Rotterdam,Netherlands,Tangier,Morocco,51.9244,4.4777,35.7595,-5.834,Rotterdam Port,BlueRoute Logistics,2026-01-10,2026-01-28,2026-01-28,0,2456.52,6369.7,39.09,High,Delivered,No delay,445.9,42,Medium,0.386,
SHP-0191,ORD-77999,Road,Madrid,Spain,Barcelona,Spain,40.4168,-3.7038,41.3874,2.1686,Barcelona Port,RoadFast Europe,2026-03-19,2026-03-23,2026-03-23,0,1874.64,2706.8,52.0,Low,Delivered,No delay,324.8,18,Low,0.693,
SHP-0192,ORD-48722,Sea,Dubai,United Arab Emirates,Hamburg,Germany,25.2048,55.2708,53.5511,9.9937,Dubai Airport,Global Freight Partners,2026-02-22,2026-03-13,2026-03-13,0,7256.28,5358.2,45.25,Low,Delivered,No delay,750.1,32,Low,1.354,
SHP-0193,ORD-69303,Road,Paris,France,Lille,France,48.8566,2.3522,50.6292,3.0573,Paris Hub,EuroCargo Line,2026-02-19,2026-02-22,2026-02-22,0,2216.94,6156.1,34.45,Low,Delivered,No delay,738.7,18,Low,0.36,
SHP-0194,ORD-30989,Road,Lille,France,Antwerp,Belgium,50.6292,3.0573,51.2194,4.4025,Lille Hub,RoadFast Europe,2026-01-08,2026-01-11,2026-01-11,0,1705.17,5339.8,11.69,High,Delivered,No delay,640.8,38,Low,0.319,
SHP-0195,ORD-38153,Road,Hamburg,Germany,Milan,Italy,53.5511,9.9937,45.4642,9.19,Milan Hub,EuroCargo Line,2026-02-26,2026-02-28,2026-03-09,9,2497.92,402.4,40.38,Low,At risk,Weather disruption,48.3,63,High,6.208,
SHP-0196,ORD-88246,Road,Antwerp,Belgium,Hamburg,Germany,51.2194,4.4025,53.5511,9.9937,Antwerp Port,Global Freight Partners,2026-01-19,2026-01-24,2026-01-31,7,2435.16,3666.5,17.94,High,At risk,Carrier capacity issue,440.0,83,Critical,0.664,
SHP-0197,ORD-27556,Road,Hamburg,Germany,Milan,Italy,53.5511,9.9937,45.4642,9.19,Hamburg Port,Alpine Transport,2026-02-20,2026-02-24,2026-02-24,0,3168.0,6380.7,46.24,Low,Delivered,No delay,765.7,22,Low,0.496,
SHP-0198,ORD-93296,Road,Lyon,France,Milan,Italy,45.764,4.8357,45.4642,9.19,Milan Hub,RoadFast Europe,2026-01-29,2026-02-01,2026-02-01,0,2178.26,4072.5,27.88,Low,Delivered,No delay,488.7,18,Low,0.535,
SHP-0199,ORD-35575,Sea,Hamburg,Germany,Shanghai,China,53.5511,9.9937,31.2304,121.4737,Hamburg Port,BlueRoute Logistics,2026-01-27,2026-02-18,2026-02-21,3,7041.63,6595.9,40.72,High,Delayed,Weather disruption,923.4,82,Critical,1.068,
